Adjusted_ID,GPA_Fall ,Sex,Cohort ,Athlete_Team,Major_Fall,Total_Attendance,TW1_Attendance,Social_1,Emotional_1,Academic_1,Athletic_1,TW2_Attendance,Social_2,Emotional_2,Academic_2,Athletic_2,TW3_Attendance,Social_3,Emotional_3,Academic_3,Athletic_3,TW4_Attendance,Social_4,Emotional_4,Academic_4,Athletic_4
24250131,3.25,1,3,Ice Hockey,0,2,1,5,5,1,4,0,NA,NA,NA,NA,1,4,4,2,4,0,NA,NA,NA,NA
24250132,3.23,2,3,Volleyball,1,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250133,3.02,2,3,Basketball,0,3,1,2,4,2,4,0,NA,NA,NA,NA,1,4,4,2,4,1,4,4,4,4
24250134,1.17,2,3,Volleyball,1,1,1,4,2,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250135,3.35,1,3,Ice Hockey,2,4,1,4,2,2,4,1,4,4,2,4,1,4,4,4,4,1,4,4,2,4
24250136,3.11,1,3,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
24250137,3.21,1,3,Ice Hockey,0,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,5
24250138,2.96,2,3,Soccer,3,2,1,2,2,2,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,2,2,2
24250139,3.46,1,3,Ice Hockey,0,4,1,4,4,2,4,1,4,4,4,3,1,4,4,4,2,1,4,4,4,4
24250140,3.76,1,3,Ice Hockey,2,3,1,4,4,4,4,1,4,5,4,4,1,5,5,5,4,0,NA,NA,NA,NA
24250141,3.26,1,3,Ice Hockey,0,4,1,4,4,4,4,1,4,4,2,4,1,4,4,2,4,1,4,4,4,4
24250142,3.86,2,3,Lacrosse,3,4,1,4,4,2,3,1,4,4,4,4,1,2,2,2,2,1,4,4,4,4
24250143,NA,2,3,Softball,3,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
